Year,Series,Team,Player,PTS_mean,PTS_std,PTS_CV,PTS_G
2019,2019_nba_finals_warriors_vs_raptors,GSW,Shaun Livingston,4.667,2.422,0.519,6
2019,2019_nba_finals_warriors_vs_raptors,GSW,Jonas Jerebko,3.5,3.0,0.857,4
2019,2019_nba_finals_warriors_vs_raptors,GSW,Andrew Bogut,2.4,3.286,1.369,5
2019,2019_nba_finals_warriors_vs_raptors,GSW,Alfonzo McKinnie,2.167,2.229,1.029,6
2019,2019_nba_finals_warriors_vs_raptors,TOR,Norman Powell,1.833,2.714,1.48,6
2019,2019_nba_finals_warriors_vs_raptors,GSW,Jordan Bell,1.5,1.0,0.667,4
2019,2019_nba_finals_warriors_vs_raptors,TOR,Patrick McCaw,0.75,1.5,2.0,4
2019,2019_nba_finals_warriors_vs_raptors,GSW,Damian Jones,0.0,0.0,0.0,1
2019,2019_nba_finals_warriors_vs_raptors,GSW,Jacob Evans,0.0,0.0,0.0,3
2019,2019_nba_finals_warriors_vs_raptors,TOR,Jeremy Lin,0.0,0.0,0.0,1
2019,2019_nba_finals_warriors_vs_raptors,TOR,Jodie Meeks,0.0,0.0,0.0,1
2019,2019_nba_finals_warriors_vs_raptors,TOR,Malcolm Miller,0.0,0.0,0.0,1
2018,2018_nba_finals_cavaliers_vs_warriors,CLE,LeBron James,34.0,12.055,0.355,4
2018,2018_nba_finals_cavaliers_vs_warriors,GSW,Kevin Durant,28.75,9.912,0.345,4
2018,2018_nba_finals_cavaliers_vs_warriors,GSW,Stephen Curry,27.5,11.475,0.417,4
2018,2018_nba_finals_cavaliers_vs_warriors,CLE,Kevin Love,19.0,4.082,0.215,4
2018,2018_nba_finals_cavaliers_vs_warriors,GSW,Klay Thompson,16.0,7.118,0.445,4
2018,2018_nba_finals_cavaliers_vs_warriors,GSW,Andre Iguodala,9.5,2.121,0.223,2
2018,2018_nba_finals_cavaliers_vs_warriors,CLE,J.R. Smith,9.5,3.317,0.349,4
2018,2018_nba_finals_cavaliers_vs_warriors,GSW,Draymond Green,9.25,3.304,0.357,4
2018,2018_nba_finals_cavaliers_vs_warriors,GSW,JaVale McGee,8.0,3.651,0.456,4
2018,2018_nba_finals_cavaliers_vs_warriors,CLE,George Hill,7.5,5.26,0.701,4
2018,2018_nba_finals_cavaliers_vs_warriors,GSW,Shaun Livingston,7.5,3.786,0.505,4
2018,2018_nba_finals_cavaliers_vs_warriors,CLE,Rodney Hood,6.75,6.994,1.036,4
