,Yr,Lg,Series,Unnamed: 3_level_1,Unnamed: 4_level_1,Team,W,Unnamed: 7_level_1,Team,W,Unnamed: 10_level_1,Favorite,Underdog
108,2018,NBA,Eastern Conf Finals,"May 13 - May 27, 2018",,Cleveland Cavaliers (4),4,,Boston Celtics (2),3,,CLE (-275),BOS (+235)
109,2018,NBA,Western Conf Finals,"May 14 - May 28, 2018",,Golden State Warriors (2),4,,Houston Rockets (1),3,,GSW (-200),HOU (+170)
110,2018,NBA,Finals,"May 31 - Jun 8, 2018",,Golden State Warriors (2),4,,Cleveland Cavaliers (4),0,,GSW (-1075),CLE (+688)
111,Yr,Lg,Series,,,Team,W,,Team,W,,Favorite,Underdog
112,2017,NBA,Eastern Conf First Round,"Apr 16 - Apr 28, 2017",,Boston Celtics (1),4,,Chicago Bulls (8),2,,BOS (-470),CHI (+375)
113,2017,NBA,Eastern Conf First Round,"Apr 15 - Apr 23, 2017",,Cleveland Cavaliers (2),4,,Indiana Pacers (7),0,,CLE (-1100),IND (+700)
114,2017,NBA,Eastern Conf First Round,"Apr 15 - Apr 27, 2017",,Toronto Raptors (3),4,,Milwaukee Bucks (6),2,,TOR (-440),MIL (+350)
115,2017,NBA,Eastern Conf First Round,"Apr 16 - Apr 28, 2017",,Washington Wizards (4),4,,Atlanta Hawks (5),2,,WAS (-220),ATL (+180)
116,2017,NBA,Western Conf First Round,"Apr 16 - Apr 24, 2017",,Golden State Warriors (1),4,,Portland Trail Blazers (8),0,,GSW (-7000),POR (+3000)
117,2017,NBA,Western Conf First Round,"Apr 15 - Apr 27, 2017",,San Antonio Spurs (2),4,,Memphis Grizzlies (7),2,,SAS (-1070),MEM (+685)
118,2017,NBA,Western Conf First Round,"Apr 16 - Apr 25, 2017",,Houston Rockets (3),4,,Oklahoma City Thunder (6),1,,HOU (-390),OKC (+320)
119,2017,NBA,Western Conf First Round,"Apr 15 - Apr 30, 2017",,Utah Jazz (5),4,,Los Angeles Clippers (4),3,,LAC (-245),UTA (+205)
120,2017,NBA,Eastern Conf Semifinals,"May 1 - May 7, 2017",,Cleveland Cavaliers (2),4,,Toronto Raptors (3),0,,CLE (-475),TOR (+380)
121,2017,NBA,Eastern Conf Semifinals,"Apr 30 - May 15, 2017",,Boston Celtics (1),4,,Washington Wizards (4),3,,BOS (-185),WAS (+160)
